#NUMBER;RN;SN;VN;NAME;LOCATION;STATUS;LATX;NS;VF;LONGX;EW;ELEV;TYPE;TIMEFRAME
1000-30-;10;00;-30-;Bolshoi Payalpan;Kamchatka;Holocene?;55,88333333;N;;157,7833333;E;1906;Shield volcanoes;?
1000-31-;10;00;-31-;Plosky;Kamchatka;Holocene?;55,2;N;;158,4666667;E;1236;Shield volcano;?
1000-32-;10;00;-32-;Akhtang;Kamchatka;Holocene?;55,43333333;N;;158,65;E;1956;Shield volcano;?
1000-33-;10;00;-33-;Kozyrevsky;Kamchatka;Holocene?;55,58333333;N;;158,3833333;E;2016;Shield volcano;?
1000-34-;10;00;-34-;Romanovka;Kamchatka;Holocene?;55,65;N;;158,8;E;1442;Stratovolcano;?
1000-35-;10;00;-35-;Uksichan;Kamchatka;Holocene?;56,08333333;N;;158,3833333;E;1692;Shield volcano;?
1000-36-;10;00;-36-;Bolshoi-Kekuknaysky;Kamchatka;Radiocarbon;56,46666667;N;;157,8;E;1401;Shield volcanoes;D7
1000-37-;10;00;-37-;Kulkev;Kamchatka;Holocene?;56,36666667;N;;158,3666667;E;915;Shield volcano;?
1000-38-;10;00;-38-;Geodesistoy;Kamchatka;Holocene?;56,33333333;N;;158,6666667;E;1170;Shield volcano;?
1000-39-;10;00;-39-;Anaun;Kamchatka;Holocene?;56,31666667;N;;158,8333333;E;1828;Stratovolcano;?
1000-40-;10;00;-40-;Krainy;Kamchatka;Holocene?;56,36666667;N;;159,0333333;E;1554;Shield volcano;?
1000-41-;10;00;-41-;Kekurny;Kamchatka;Holocene?;56,4;N;;158,85;E;1377;Shield volcanoes;?
1000-42-;10;00;-42-;Eggella;Kamchatka;Holocene?;56,56666667;N;;158,5166667;E;1046;Shield volcano;?
1000-43-;10;00;-43-;Unnamed;Kamchatka;Holocene?;56,81666667;N;;158,95;E;1185;Shield volcano;?
1000-44-;10;00;-44-;Verkhovoy;Kamchatka;Holocene?;56,51666667;N;;159,5333333;E;1400;Shield volcano;?
1000-45-;10;00;-45-;Alney-Chashakondzha;Kamchatka;Radiocarbon;56,7;N;;159,65;E;2598;Stratovolcano;D5
1000-46-;10;00;-46-;Cherny;Kamchatka;Holocene?;56,81666667;N;;159,6666667;E;1778;Stratovolcano;?
1000-47-;10;00;-47-;Pogranychny;Kamchatka;Holocene?;56,85;N;;159,8;E;1427;Shield volcanoes;?
1000-48-;10;00;-48-;Zaozerny;Kamchatka;Holocene?;56,88333333;N;;159,95;E;1349;Shield volcanoes;?
1000-49-;10;00;-49-;Bliznets;Kamchatka;Holocene?;56,96666667;N;;159,7833333;E;1244;Stratovolcano;?
1000-50-;10;00;-50-;Kebeney;Kamchatka;Holocene?;57,1;N;;159,9333333;E;1527;Shield volcano;?
1000-51-;10;00;-51-;Fedotych;Kamchatka;Holocene?;57,13333333;N;;160,4;E;965;Shield volcano;?
1000-511;10;00;-511;Shisheika;Kamchatka;Radiocarbon;57,15;N;;161,0833333;E;379;Lava dome;D7
1000-512;10;00;-512;Terpuk;Kamchatka;Radiocarbon;57,2;N;;159,8333333;E;765;Shield volcano;D7
1000-52-;10;00;-52-;Sedankinsky;Kamchatka;Radiocarbon;57,26666667;N;;160,0833333;E;1241;Shield volcano;D7
1000-53-;10;00;-53-;Leutongey;Kamchatka;Holocene?;57,3;N;;159,8333333;E;1333;Shield volcano;?
1000-54-;10;00;-54-;Tuzovsky;Kamchatka;Holocene?;57,31666667;N;;159,9666667;E;1533;Shield volcanoes;?
1000-55-;10;00;-55-;Gorny Institute;Kamchatka;Radiocarbon;57,33333333;N;;160,2;E;2125;Stratovolcano;D6
1000-551;10;00;-551;Kinenin;Kamchatka;Radiocarbon;57,35;N;;160,9666667;E;583;Maar;D6
1000-552;10;00;-552;Bliznetsy;Kamchatka;Radiocarbon;57,35;N;;161,3666667;E;265;Lava cone;D7
1000-56-;10;00;-56-;Titila;Kamchatka;Radiocarbon;57,4;N;;160,1;E;1559;Shield volcanoes;D7
1000-57-;10;00;-57-;Mezhdusopochny;Kamchatka;Holocene?;57,46666667;N;;160,25;E;1641;Shield volcano;?
1000-58-;10;00;-58-;Shishel;Kamchatka;Holocene?;57,45;N;;160,3666667;E;2525;Shield volcano;?
1000-59-;10;00;-59-;Elovsky;Kamchatka;Tephrochronology;57,55;N;;160,5333333;E;1381;Shield volcanoes;D7
1000-60-;10;00;-60-;Alngey;Kamchatka;Holocene?;57,7;N;;160,4;E;1853;Stratovolcano;?
1000-61-;10;00;-61-;Uka;Kamchatka;Holocene?;57,7;N;;160,5833333;E;1643;Shield volcano;?
1000-62-;10;00;-62-;Kaileney;Kamchatka;Holocene?;57,8;N;;160,6666667;E;1582;Shield volcano;?
1000-63-;10;00;-63-;Plosky;Kamchatka;Holocene?;57,83333333;N;;160,25;E;1255;Shield volcano;?
1000-64-;10;00;-64-;Bely;Kamchatka;Holocene?;57,88333333;N;;160,5333333;E;2080;Shield volcanoes;?
1000-65-;10;00;-65-;Nylgimelkin;Kamchatka;Radiocarbon;57,96666667;N;;160,65;E;1764;Shield volcanoes;D7
1000-66-;10;00;-66-;Snezhniy;Kamchatka;Holocene?;58,01666667;N;;160,8;E;2169;Shield volcano;?
1000-67-;10;00;-67-;Iktunup;Kamchatka;Holocene?;58,08333333;N;;160,7666667;E;2300;Shield volcanoes;?
1000-671;10;00;-671;Spokoiny;Kamchatka;Radiocarbon;58,13333333;N;;160,8166667;E;2171;Stratovolcano;D7
1000-68-;10;00;-68-;Ostry;Kamchatka;Holocene;58,18333333;N;;160,8166667;E;2552;Stratovolcano;D7
1000-69-;10;00;-69-;Snegovoy;Kamchatka;Holocene?;58,2;N;;160,9666667;E;2169;Shield volcano;?
1000-70-;10;00;-70-;Severny;Kamchatka;Radiocarbon;58,28333333;N;;160,8666667;E;1936;Shield volcano;D7
1000-71-;10;00;-71-;Iettunup;Kamchatka;Holocene?;58,4;N;;161,0833333;E;1340;Shield volcanoes;?
1000-72-;10;00;-72-;Voyampolsky;Kamchatka;Holocene?;58,36666667;N;;160,6166667;E;1225;Shield volcanoes;?
1002-01-;10;02;-01-;Sikhote-Alin;Russia-SE;Holocene;47;N;*;137,5;E;;Volcanic field;U
1002-03-;10;02;-03-;Udokan Plateau;Russia-SE;Radiocarbon;56,28333333;N;*;117,7666667;E;2180;Pyroclastic cones;D7
1002-04-;10;02;-04-;Vitim Plateau;Russia-SE;Holocene;53,7;N;*;113,3;E;1250;Cinder cones;U
1002-05-;10;02;-05-;Tunkin Depression;Russia-SE;Holocene?;51,5;N;*;102,5;E;1200;Volcanic field;?
1002-06-;10;02;-06-;Oka Plateau;Russia-SE;Holocene;52,7;N;*;98,98333333;E;2077;Cinder cones;U
1002-07-;10;02;-07-;Azas Plateau;Russia-SE;Holocene;52,51666667;N;*;98,6;E;2765;Volcanic field;U
1003-01-;10;03;-01-;Taryatu-Chulutu;Mongolia;Radiocarbon;48,16666667;N;*;99,7;E;2400;Volcanic field;D7
1003-02-;10;03;-02-;Khanuy Gol;Mongolia;Holocene;48,66666667;N;*;102,75;E;1886;Volcanic field;U
1003-03-;10;03;-03-;Bus-Obo;Mongolia;Holocene?;47,11666667;N;;109,0833333;E;1162;Cinder cone;?
1003-04-;10;03;-04-;Dariganga Volc Field;Mongolia;Holocene;45,33333333;N;*;114;E;1778;Cinder cones;U
1003-05-;10;03;-05-;Middle Gobi;Mongolia;Holocene?;45,28333333;N;*;106,7;E;1120;Cinder cones;?
1004-01-;10;04;-01-;Turfan;China-W;Historical;42,9;N;;89,25;E;;Cone;D6
1004-02-;10;04;-02-;Tianshan Volc Group;China-W;Historical;42,5;N;*;82,5;E;;Volcanic field;D6
1004-03-;10;04;-03-;Kunlun Volc Group;China-W;Historical;35,51666667;N;*;80,2;E;5808;Pyroclastic cones;D2
1004-04-;10;04;-04-;Unnamed;China-W;Uncertain;35,85;N;*;91,7;E;5400;Volcanic field;?
1005-01-;10;05;-01-;Honggeertu;China-E;Holocene?;41,46666667;N;*;113;E;1700;Cinder cones;?
1005-011;10;05;-011;Arshan;China-E;Radiocarbon;47,5;N;*;120,7;E;;Cinder cones;D
1005-02-;10;05;-02-;Keluo Group;China-E;Holocene;49,36666667;N;*;125,9166667;E;670;Pyroclastic cones;U
1005-03-;10;05;-03-;Wudalianchi;China-E;Historical;48,71666667;N;*;126,1166667;E;597;Volcanic field;D4
1005-04-;10;05;-04-;Jingbo;China-E;Radiocarbon;44,08333333;N;*;128,8333333;E;1000;Volcanic field;D7
1005-05-;10;05;-05-;Longgang Group;China-E;Radiocarbon;42,33333333;N;*;126,5;E;1000;Cinder cones;D6
1005-06-;10;05;-06-;Changbaishan;China-E;Historical;41,98333333;N;;128,0833333;E;2744;Stratovolcano;D2
1006-01-;10;06;-01-;Xianjindao;Korea;Uncertain;41,33333333;N;;128;E;;Unknown;?
1006-02-;10;06;-02-;Ch'uga-ryong;Korea;Holocene?;38,33333333;N;;127,3333333;E;452;Shield volcano;?
1006-03-;10;06;-03-;Ulreung;Korea;Radiocarbon;37,5;N;;130,8666667;E;984;Stratovolcano;D7
1006-04-;10;06;-04-;Halla;Korea;Historical;33,36666667;N;;126,5333333;E;1950;Shield volcano;D6
1101-01-;11;01;-01-;Buldir;Aleutian Is;Holocene?;52,35;N;;175,9105556;E;656;Stratovolcano;?
1101-02-;11;01;-02-;Kiska;Aleutian Is;Historical;52,10277778;N;;177,6019444;E;1220;Stratovolcano;D2
1101-03-;11;01;-03-;Segula;Aleutian Is;Holocene;52,01527778;N;;178,1355556;E;1160;Stratovolcano;U
1101-04-;11;01;-04-;Davidof;Aleutian Is;Holocene?;51,96666667;N;;178,3333333;E;328;Stratovolcano;?
1101-05-;11;01;-05-;Little Sitkin;Aleutian Is;Historical;51,95;N;;178,5430556;E;1174;Stratovolcano;D3
1101-06-;11;01;-06-;Semisopochnoi;Aleutian Is;Historical;51,93333333;N;;179,5833333;E;1221;Stratovolcano;D2
1101-07-;11;01;-07-;Gareloi;Aleutian Is;Historical;51,79027778;N;;-178,7938889;W;1573;Stratovolcano;D2
1101-08-;11;01;-08-;Tanaga;Aleutian Is;Historical;51,885;N;;-178,1458333;W;1806;Stratovolcanoes;D2
1101-09-;11;01;-09-;Takawangha;Aleutian Is;Radiocarbon;51,87277778;N;;-178,0055556;W;1449;Stratovolcano;D5
1101-10-;11;01;-10-;Bobrof;Aleutian Is;Holocene?;51,91;N;;-177,4383333;W;738;Stratovolcano;?
1101-11-;11;01;-11-;Kanaga;Aleutian Is;Historical;51,92277778;N;;-177,1677778;W;1307;Stratovolcano;D2
1101-111;11;01;-111;Moffett;Aleutian Is;Radiocarbon;51,94388889;N;;-176,7466667;W;1196;Stratovolcano;D7
1101-12-;11;01;-12-;Great Sitkin;Aleutian Is;Historical;52,07611111;N;;-176,13;W;1740;Stratovolcano;D2
1101-13-;11;01;-13-;Kasatochi;Aleutian Is;Historical;52,1775;N;;-175,5083333;W;314;Stratovolcano;D1
1101-14-;11;01;-14-;Koniuji;Aleutian Is;Ar/Ar;52,21666667;N;;-175,1333333;W;273;Stratovolcano;D7
1101-15-;11;01;-15-;Sergief;Aleutian Is;Uncertain;52,05;N;;-174,95;W;560;Stratovolcano;?
1101-16-;11;01;-16-;Atka;Aleutian Is;Historical;52,33166667;N;;-174,1366667;W;1451;Stratovolcanoes;D2
1101-161;11;01;-161;Korovin;Aleutian Is;Historical;52,38111111;N;;-174,1541667;W;1533;Stratovolcanoes;D1
1101-18-;11;01;-18-;Seguam;Aleutian Is;Historical;52,31527778;N;;-172,5097222;W;1054;Stratovolcanoes;D2
1101-19-;11;01;-19-;Amukta;Aleutian Is;Historical;52,5;N;;-171,2522222;W;1066;Stratovolcano;D2
1101-20-;11;01;-20-;Chagulak;Aleutian Is;Holocene;52,57666667;N;;-171,1333333;W;1142;Stratovolcano;U
1101-21-;11;01;-21-;Yunaska;Aleutian Is;Historical;52,64277778;N;;-170,6286111;W;550;Shield volcano;D2
1101-22-;11;01;-22-;Herbert;Aleutian Is;Holocene;52,74222222;N;;-170,1105556;W;1280;Stratovolcano;U
1101-23-;11;01;-23-;Carlisle;Aleutian Is;Historical;52,89388889;N;;-170,0541667;W;1620;Stratovolcano;D3
1101-24-;11;01;-24-;Cleveland;Aleutian Is;Historical;52,825;N;;-169,9438889;W;1730;Stratovolcano;D1
1101-241;11;01;-241;Tana;Aleutian Is;Holocene;52,83333333;N;;-169,7666667;W;1170;Stratovolcanoes;U
1101-25-;11;01;-25-;Uliaga;Aleutian Is;Holocene;53,065;N;;-169,7666667;W;888;Stratovolcano;U
1101-26-;11;01;-26-;Kagamil;Aleutian Is;Historical;52,97361111;N;;-169,7166667;W;893;Stratovolcano;D2
1101-27-;11;01;-27-;Vsevidof;Aleutian Is;Historical;53,13;N;;-168,6930556;W;2149;Stratovolcano;D3
1101-28-;11;01;-28-;Recheschnoi;Aleutian Is;Holocene;53,15666667;N;;-168,5388889;W;1984;Stratovolcano;U
1101-29-;11;01;-29-;Okmok;Aleutian Is;Historical;53,43333333;N;;-168,1333333;W;1073;Shield volcano;D1
1101-30-;11;01;-30-;Bogoslof;Aleutian Is;Historical;53,93333333;N;;-168,0333333;W;150;Submarine volcano;D2
1101-31-;11;01;-31-;Makushin;Aleutian Is;Historical;53,89083333;N;;-166,9227778;W;1800;Stratovolcano;D2
1101-32-;11;01;-32-;Akutan;Aleutian Is;Historical;54,13444444;N;;-165,9861111;W;1303;Stratovolcano;D2
1101-34-;11;01;-34-;Westdahl;Aleutian Is;Historical;54,51833333;N;;-164,65;W;1654;Stratovolcano?;D2
1101-35-;11;01;-35-;Fisher;Aleutian Is;Historical;54,65;N;;-164,4333333;W;1112;Stratovolcano;D3
1101-36-;11;01;-36-;Shishaldin;Aleutian Is;Historical;54,75555556;N;;-163,9666667;W;2857;Stratovolcano;D1
1101-37-;11;01;-37-;Isanotski;Aleutian Is;Uncertain;54,765;N;;-163,7225;W;2446;Stratovolcano;?
1101-38-;11;01;-38-;Roundtop;Aleutian Is;Radiocarbon;54,8;N;;-163,5888889;W;1871;Stratovolcano;D7
1101-39-;11;01;-39-;Amak;Aleutian Is;Historical;55,42388889;N;;-163,1491667;W;488;Stratovolcano;D4
1102-01-;11;02;-01-;Frosty;Alaska Peninsula;Holocene;55,08166667;N;;-162,8138889;W;2012;Stratovolcanoes;U
1102-011;11;02;-011;Dutton;Alaska Peninsula;Holocene;55,16805556;N;;-162,2716667;W;1506;Stratovolcano;U
1102-02-;11;02;-02-;Emmons Lake;Alaska Peninsula;Holocene;55,34055556;N;;-162,0786111;W;1436;Caldera;U
1102-03-;11;02;-03-;Pavlof;Alaska Peninsula;Historical;55,41666667;N;;-161,8875;W;2519;Stratovolcano;D1
1102-04-;11;02;-04-;Pavlof Sister;Alaska Peninsula;Holocene;55,45277778;N;;-161,8430556;W;2142;Stratovolcano;U
1102-05-;11;02;-05-;Dana;Alaska Peninsula;Radiocarbon;55,64111111;N;;-161,2138889;W;1354;Stratovolcano;D7
1102-051;11;02;-051;Stepovak Bay 2;Alaska Peninsula;Holocene;55,9125;N;;-160,0408333;W;1323;Cinder cone;U
1102-052;11;02;-052;Stepovak Bay 3;Alaska Peninsula;Holocene?;55,92916667;N;;-160,0019444;W;1555;Cinder cone;?
1102-053;11;02;-053;Stepovak Bay 4;Alaska Peninsula;Pleistocene;55,95416667;N;;-159,9541667;W;1557;Stratovolcano;P
1102-06-;11;02;-06-;Kupreanof;Alaska Peninsula;Historical;56,01111111;N;;-159,7972222;W;1895;Stratovolcano;D2
1102-07-;11;02;-07-;Veniaminof;Alaska Peninsula;Historical;56,16666667;N;;-159,3833333;W;2507;Stratovolcano;D1
1102-08-;11;02;-08-;Black Peak;Alaska Peninsula;Radiocarbon;56,5525;N;;-158,7847222;W;1032;Stratovolcano;D7
1102-09-;11;02;-09-;Aniakchak;Alaska Peninsula;Historical;56,88333333;N;;-158,1666667;W;1341;Caldera;D2
1102-10-;11;02;-10-;Yantarni;Alaska Peninsula;Tephrochronology;57,01861111;N;;-157,185;W;1345;Stratovolcano;D7
1102-11-;11;02;-11-;Chiginagak;Alaska Peninsula;Historical;57,135;N;;-156,99;W;2221;Stratovolcano;D2
1102-12-;11;02;-12-;Kialagvik;Alaska Peninsula;Holocene;57,20277778;N;;-156,7452778;W;1677;Stratovolcano;U
1102-13-;11;02;-13-;Ugashik-Peulik;Alaska Peninsula;Historical;57,75083333;N;;-156,3680556;W;1474;Stratovolcano;D3
1102-131;11;02;-131;Ukinrek Maars;Alaska Peninsula;Historical;57,83166667;N;;-156,5097222;W;91;Maars;D2
1102-132;11;02;-132;Unnamed;Alaska Peninsula;Holocene;57,86666667;N;;-155,4166667;W;300;Lava dome;U
1102-14-;11;02;-14-;Martin;Alaska Peninsula;Historical;58,17222222;N;;-155,3611111;W;1863;Stratovolcano;D2
1102-15-;11;02;-15-;Mageik;Alaska Peninsula;Radiocarbon;58,19472222;N;;-155,2527778;W;2165;Stratovolcano;D7
1102-16-;11;02;-16-;Trident;Alaska Peninsula;Historical;58,23555556;N;;-155,1;W;1864;Stratovolcano;D2
1102-17-;11;02;-17-;Katmai;Alaska Peninsula;Historical;58,27972222;N;;-154,9633333;W;2047;Stratovolcano;D2
1102-18-;11;02;-18-;Novarupta;Alaska Peninsula;Historical;58,26666667;N;;-155,1566667;W;841;Caldera;D2
1102-19-;11;02;-19-;Griggs;Alaska Peninsula;Radiocarbon;58,35388889;N;;-155,0916667;W;2317;Stratovolcano;D7
1102-20-;11;02;-20-;Snowy Mountain;Alaska Peninsula;Radiocarbon;58,33555556;N;;-154,6819444;W;2162;Stratovolcanoes;D4
1102-21-;11;02;-21-;Denison;Alaska Peninsula;Holocene?;58,41777778;N;;-154,4491667;W;2287;Stratovolcano;?
1102-22-;11;02;-22-;Steller;Alaska Peninsula;Holocene;58,43333333;N;;-154,4;W;2272;Stratovolcano;U
1102-23-;11;02;-23-;Kukak;Alaska Peninsula;Fumarolic;58,45277778;N;;-154,355;W;2043;Stratovolcano;U
1102-25-;11;02;-25-;Kaguyak;Alaska Peninsula;Holocene;58,60833333;N;;-154,0277778;W;901;Lava domes;D7
1102-26-;11;02;-26-;Fourpeaked;Alaska Peninsula;Historical;58,77;N;;-153,6722222;W;2105;Stratovolcano;D1
1102-27-;11;02;-27-;Douglas;Alaska Peninsula;Holocene;58,85527778;N;;-153,5419444;W;2140;Stratovolcano;U
1103-01-;11;03;-01-;Augustine;Alaska-SW;Historical;59,36333333;N;;-153,4333333;W;1252;Lava domes;D1
1103-02-;11;03;-02-;Iliamna;Alaska-SW;Historical;60,03194444;N;;-153,0902778;W;3053;Stratovolcano;D3
1103-03-;11;03;-03-;Redoubt;Alaska-SW;Historical;60,48527778;N;;-152,7419444;W;3108;Stratovolcano;D1
1103-04-;11;03;-04-;Spurr;Alaska-SW;Historical;61,29944444;N;;-152,2511111;W;3374;Stratovolcano;D2
1103-05-;11;03;-05-;Hayes;Alaska-SW;Radiocarbon;61,64027778;N;;-152,4113889;W;3034;Stratovolcano;D6
1104-01-;11;04;-01-;St. Paul Island;Alaska-W;Radiocarbon;57,18333333;N;*;-170,3;W;203;Shield volcano;D7
1104-02-;11;04;-02-;Nunivak Island;Alaska-W;Holocene;60,01666667;N;*;-166,3333333;W;511;Shield volcano;U
1104-03-;11;04;-03-;Ingakslugwat Hills;Alaska-W;Holocene;61,43333333;N;*;-164,4666667;W;190;Cinder cones;U
1104-04-;11;04;-04-;St. Michael;Alaska-W;Anthropology;63,45;N;*;-162,1166667;W;715;Shield volcanoes;U
1104-05-;11;04;-05-;Kookooligit Mountains;Alaska-W;Holocene;63,6;N;*;-170,4333333;W;673;Shield volcano;U
1104-06-;11;04;-06-;Imuruk Lake;Alaska-W;Radiocarbon;65,6;N;*;-163,9166667;W;610;Shield volcanoes;D6
1105-001;11;05;-001;Buzzard Creek;Alaska-E;Radiocarbon;64,06666667;N;;-148,4166667;W;830;Tuff rings;D7
1105-01-;11;05;-01-;Sanford;Alaska-E;Holocene?;62,21666667;N;;-144,1333333;W;4949;Shield volcano;?
1105-02-;11;05;-02-;Wrangell;Alaska-E;Historical;62;N;;-144,0166667;W;4317;Shield volcano;D1
1105-021;11;05;-021;Gordon;Alaska-E;Holocene?;62,13333333;N;;-143,0833333;W;2755;Cinder cones;?
1105-03-;11;05;-03-;Churchill;Alaska-E;Radiocarbon;61,38333333;N;;-141,75;W;5005;Stratovolcano;D6
1105-04-;11;05;-04-;Edgecumbe;Alaska-E;Radiocarbon;57,05;N;;-135,75;W;970;Stratovolcanoes;D7
1105-05-;11;05;-05-;Duncan Canal;Alaska-E;Holocene;56,5;N;*;-133,1;W;15;Volcanic field;U
1105-06-;11;05;-06-;Tlevak Strait-Suemez Is.;Alaska-E;Holocene;55,25;N;*;-133,3;W;50;Volcanic field;U
1105-07-;11;05;-07-;Behm Canal-Rudyerd Bay;Alaska-E;Holocene?;55,31666667;N;*;-131,05;W;500;Cinder cones;?
1200-01-;12;00;-01-;Fort Selkirk;Canada;Holocene?;62,93333333;N;*;-137,3833333;W;1239;Volcanic field;?
1200-02-;12;00;-02-;Alligator Lake;Canada;Holocene;60,41666667;N;*;-135,4166667;W;2217;Volcanic field;U
1200-03-;12;00;-03-;Atlin Volc Field;Canada;Holocene;59,68333333;N;*;-133,3166667;W;1880;Cinder cones;U
1200-031;12;00;-031;Tuya Volc Field;Canada;Holocene;59,36666667;N;*;-130,5833333;W;2123;Volcanic field;U
1200-04-;12;00;-04-;Heart Peaks;Canada;Holocene?;58,6;N;;-131,9666667;W;2012;Shield volcano;?
1200-05-;12;00;-05-;Level Mountain;Canada;Holocene?;58,41666667;N;;-131,35;W;2190;Shield volcano;?
1200-06-;12;00;-06-;Edziza;Canada;Radiocarbon;57,71666667;N;;-130,6333333;W;2786;Stratovolcano;D6
1200-07-;12;00;-07-;Spectrum Range;Canada;Holocene;57,43333333;N;;-130,6833333;W;2430;Shield volcano;U
1200-08-;12;00;-08-;Hoodoo Mountain;Canada;Tephrochronology;56,78333333;N;;-131,2833333;W;1850;Subglacial volcano;D7
1200-09-;12;00;-09-;Iskut-Unuk River Cones;Canada;Radiocarbon;56,58333333;N;*;-130,55;W;1880;Cinder cones;D3
1200-10-;12;00;-10-;Tseax River Cone;Canada;Radiocarbon;55,11666667;N;;-128,9;W;609;Pyroclastic cone;D5
1200-11-;12;00;-11-;Crow Lagoon;Canada;Holocene;54,7;N;;-130,2333333;W;335;Pyroclastic cone;U
1200-12-;12;00;-12-;Milbanke Sound Group;Canada;Holocene;52,5;N;*;-128,7333333;W;335;Cinder cones;U
1200-13-;12;00;-13-;Satah Mountain;Canada;Holocene;52,46666667;N;*;-124,7;W;1921;Volcanic field;U
1200-14-;12;00;-14-;Nazko;Canada;Radiocarbon;52,9;N;;-123,7333333;W;1230;Cinder cones;D7
1200-15-;12;00;-15-;Wells Gray-Clearwater;Canada;Dendrochronology;52,33333333;N;*;-120,5666667;W;2015;Cinder cones;D5
1200-16-;12;00;-16-;Silverthrone;Canada;Holocene;51,43333333;N;;-126,3;W;3160;Caldera;U
1200-17-;12;00;-17-;Bridge River Cones;Canada;Holocene;50,8;N;*;-123,4;W;2500;Volcanic field;U
1200-18-;12;00;-18-;Meager;Canada;Radiocarbon;50,63333333;N;;-123,5;W;2680;Complex volcano;D7
1200-19-;12;00;-19-;Garibaldi Lake;Canada;Holocene;49,91666667;N;*;-123,0333333;W;2316;Volcanic field;U
1200-20-;12;00;-20-;Garibaldi;Canada;Radiocarbon;49,85;N;;-123;W;2678;Stratovolcano;D7
1201-01=;12;01;-01-;Baker;US-Washington;Historical;48,77666667;N;;-121,8130556;W;3285;Stratovolcanoes;D3
1201-02-;12;01;-02-;Glacier Peak;US-Washington;Tephrochronology;48,11166667;N;;-121,1127778;W;3213;Stratovolcano;D4
1201-03-;12;01;-03-;Rainier;US-Washington;Historical;46,85277778;N;;-121,7602778;W;4392;Stratovolcano;D3
1201-04-;12;01;-04-;Adams;US-Washington;Tephrochronology;46,20555556;N;;-121,4897222;W;3742;Stratovolcano;D6
1201-05-;12;01;-05-;St. Helens;US-Washington;Historical;46,2;N;;-122,1833333;W;2549;Stratovolcano;D1
1201-06-;12;01;-06-;West Crater;US-Washington;Radiocarbon;45,88333333;N;*;-122,0833333;W;1329;Volcanic field;D7
1201-07-;12;01;-07-;Indian Heaven;US-Washington;Radiocarbon;45,93333333;N;*;-121,8166667;W;1806;Shield volcanoes;D7
1202-01-;12;02;-01-;Hood;US-Oregon;Historical;45,37361111;N;;-121,6947222;W;3426;Stratovolcano;D3
1202-02-;12;02;-02-;Jefferson;US-Oregon;Varve Count;44,67416667;N;;-121,7997222;W;3199;Stratovolcano;D6
1202-03-;12;02;-03-;Blue Lake Crater;US-Oregon;Radiocarbon;44,41138889;N;;-121,7738889;W;1230;Maar;D6
1202-04-;12;02;-04-;Sand Mountain Field;US-Oregon;Radiocarbon;44,38333333;N;*;-121,9333333;W;1664;Cinder cones;D6
1202-06-;12;02;-06-;Belknap;US-Oregon;Radiocarbon;44,28527778;N;;-121,8411111;W;2095;Shield volcanoes;D6
1202-07-;12;02;-07-;North Sister Field;US-Oregon;Radiocarbon;44,16666667;N;;-121,7666667;W;3074;Complex volcano;D6
1202-08-;12;02;-08-;South Sister;US-Oregon;Radiocarbon;44,10277778;N;;-121,7683333;W;3157;Complex volcano;D7
1202-09-;12;02;-09-;Bachelor;US-Oregon;Tephrochronology;43,97944444;N;;-121,6875;W;2763;Stratovolcano;D7
1202-10-;12;02;-10-;Davis Lake;US-Oregon;Radiocarbon;43,56666667;N;*;-121,8166667;W;2163;Volcanic field;D7
1202-11-;12;02;-11-;Newberry;US-Oregon;Radiocarbon;43,72222222;N;;-121,2288889;W;2434;Shield volcano;D6
1202-12-;12;02;-12-;Devils Garden;US-Oregon;Holocene?;43,51166667;N;*;-120,8613889;W;1698;Volcanic field;?
1202-13-;12;02;-13-;Squaw Ridge Lava Field;US-Oregon;Holocene?;43,47222222;N;*;-120,7536111;W;1711;Volcanic field;?
1202-14-;12;02;-14-;Four Craters Lava Field;US-Oregon;Holocene?;43,36111111;N;*;-120,6694444;W;1501;Volcanic field;?
1202-15-;12;02;-15-;Cinnamon Butte;US-Oregon;Holocene?;43,24111111;N;*;-122,1083333;W;1956;Cinder cones;?
1202-16-;12;02;-16-;Crater Lake;US-Oregon;Radiocarbon;42,93333333;N;;-122,1166667;W;2487;Caldera;D7
1202-17-;12;02;-17-;Diamond Craters;US-Oregon;Holocene?;43,1;N;*;-118,75;W;1435;Volcanic field;?
1202-19-;12;02;-19-;Jordan Craters;US-Oregon;Radiocarbon;43,14722222;N;;-117,4597222;W;1473;Volcanic field;D7
1203-01-;12;03;-01-;Shasta;US-California;Historical;41,40888889;N;;-122,1933333;W;4317;Stratovolcano;D4
1203-02-;12;03;-02-;Medicine Lake;US-California;Radiocarbon;41,61111111;N;;-121,5536111;W;2412;Shield volcano;D6
1203-03-;12;03;-03-;Brushy Butte;US-California;Holocene?;41,17777778;N;;-121,4433333;W;1174;Shield volcano;?
1203-04-;12;03;-04-;Twin Buttes;US-California;Holocene?;40,7775;N;*;-121,5905556;W;1631;Cinder cones;?
1203-05-;12;03;-05-;Silver Lake;US-California;Holocene?;40,73055556;N;;-121,8408333;W;1535;Cinder cones;?
1203-06-;12;03;-06-;Tumble Buttes;US-California;Holocene?;40,68333333;N;*;-121,55;W;2191;Cinder cones;?
1203-08-;12;03;-08-;Lassen Volc Center;US-California;Historical;40,49166667;N;;-121,5083333;W;3187;Stratovolcano;D2
1203-09-;12;03;-09-;Eagle Lake Field;US-California;Holocene?;40,63333333;N;*;-120,8333333;W;1652;Fissure vents;?
